# AEB Small 100 SGF Manifest

Selection rule: sort every .sgf member in games.tgz lexicographically by archive path,
then keep the first 100 files that replay with status ok under VantaGo diagnostics.
Selected SGF bytes are committed unchanged under stable local filenames; source_path
records the original archive path for provenance.

archive_members_scanned_for_selection: 100
selected_files: 100
total_moves_replayed: 20065
skipped_during_selection:
  none

files:
id	file	source_path	event	round	black	white	result	date	moves	bytes	sha256
aeb-small-0078	sgf/aeb-small-0078.sgf	games/AJ1st/02/18.sgf	2nd All Japan #1	1	Miyashita Shuyo	Tanaka Minaichi	B+R	1970-07-09	291	1893	ce99f2847acaf25e9dca7368dc3ecd90ca188cf14557ac3fe03b3377f38569e8
aeb-small-0079	sgf/aeb-small-0079.sgf	games/AJ1st/02/19.sgf	2nd All Japan #1	1	Yamabe Toshiro	Iwamoto Kaoru	B+R	1970-07-16	201	1341	f0c5d73e47f2eab8a8463f3b8a0af22995919b29ef003604313eb411ef4af158
aeb-small-0080	sgf/aeb-small-0080.sgf	games/AJ1st/02/2.sgf	2nd All Japan #1	3	Chino Tadahiko	Kamimura Kunio	B+R	1971	153	1043	05ea44bae9d8e5af4c55bc9afca81813e10d5b81c6966718c3966cc2fccc9b7c
aeb-small-0081	sgf/aeb-small-0081.sgf	games/AJ1st/02/20.sgf	2nd All Japan #1	1	Tono Hiroaki	Suzuki Masaharu	B+R	1970-07-30	109	779	69bff2553c9c0144856c13eb24641a8aeddaa2a65819c20580270e0878777775
aeb-small-0082	sgf/aeb-small-0082.sgf	games/AJ1st/02/21.sgf	2nd All Japan #1	1	Hane Yasumasa	Hashimoto Shoji	B+R	1970-08-20	295	1915	74062a242d9efa60274ef55b484c66dbe3a6d95b6f63cdc9d2651ad6d71ea6f0
aeb-small-0083	sgf/aeb-small-0083.sgf	games/AJ1st/02/22.sgf	2nd All Japan #1	1	Kato Masao	Sakata Eio	B+R	1970-08-26	133	919	614bbec6ed3475765e0dbc8ce3c0696ad58b7c2908ad65256a066d3f4316c762
aeb-small-0084	sgf/aeb-small-0084.sgf	games/AJ1st/02/23.sgf	2nd All Japan #1	2	Miyashita Shuyo	Ishii Kunio	B+R	1970-09-03	133	925	99d4005fd86391bd402965055994cb0ebd181b9f2dc04b5759e188a34d573e9b
aeb-small-0085	sgf/aeb-small-0085.sgf	games/AJ1st/02/24.sgf	2nd All Japan #1	2	Kamimura Kunio	Fujisawa Hosai	B+R	1970-09-24	221	1464	18b0defea8c7a37d546c7a7e596dbedecab18e6555ae680c9b418cf10068baef
aeb-small-0086	sgf/aeb-small-0086.sgf	games/AJ1st/02/25.sgf	2nd All Japan #1	2	Nakamura Yutaro	Hane Yasumasa	W+7.5	1970-10-29	247	1624	b2d16135b576a0240993287f02dd28b63f445e02f3bc5339e1730c6d52808e9a
aeb-small-0087	sgf/aeb-small-0087.sgf	games/AJ1st/02/26.sgf	2nd All Japan #1	2	Chino Tadahiko	Hisai Keishi	B+R	1970-12-03	137	949	c031e932135bfe04111b113f5885553c3333ee6d440805843b9b885e75bf0a8f
aeb-small-0088	sgf/aeb-small-0088.sgf	games/AJ1st/02/27.sgf	2nd All Japan #1	2	Kudo Norio	Tono Hiroaki	W+R	1970-12-03	142	976	750940536b60d1f858f3f4c518a7c6b5e43e8997d9037604796bf1844005369f
aeb-small-0089	sgf/aeb-small-0089.sgf	games/AJ1st/02/28.sgf	2nd All Japan #1	2	Yamabe Toshiro	Sato Sunao	B+R	1971-02-25	165	1118	d093a0e5999eb373ad8b5906c01dd2571aa6dc47d8efbe259cbb789add507db3
